Age,M,F,Year
0-4,582471,555238,1980
5-9,665585,637421,1980
10-14,654507,625723,1980
15-19,666856,641123,1980
20-24,645054,626457,1980
25-29,611965,600025,1980
30-34,601938,582596,1980
35-39,486192,465569,1980
40-44,415915,396535,1980
45-49,381386,362016,1980
50-54,396967,379377,1980
55-59,365160,369285,1980
60-64,283947,310668,1980
65-69,245165,281791,1980
70-74,170350,215902,1980
75-79,102707,152007,1980
80-84,49425,97948,1980
85-89,19811,49137,1980
90-94,5714,16843,1980
95-99,875,3259,1980
100+,75,352,1980
0-4,615749,586441,1985
5-9,606671,576546,1985
10-14,690668,658626,1985
15-19,672296,642953,1985
20-24,687612,664101,1985
25-29,669398,655367,1985
30-34,631059,628400,1985
35-39,626009,604965,1985
40-44,499157,474287,1985
45-49,421237,399166,1985
50-54,377680,360256,1985
55-59,385275,373894,1985
60-64,344931,363901,1985
65-69,256364,294713,1985
70-74,204972,259044,1985
75-79,126724,184169,1985
80-84,62838,113519,1985
85-89,23334,58870,1985
90-94,6505,21600,1985
95-99,1145,4663,1985
100+,102,528,1985
0-4,648244,616135,1990
5-9,649337,616571,1990
10-14,638959,604951,1990
15-19,717370,684572,1990
20-24,693371,675117,1990
25-29,716637,707965,1990
30-34,702078,698741,1990
35-39,659181,659227,1990
40-44,642223,620982,1990
45-49,506487,480748,1990
50-54,421942,402481,1990
55-59,369198,360479,1990
60-64,367894,371464,1990
65-69,314617,348818,1990
70-74,219759,272705,1990
75-79,154753,220756,1990
80-84,80679,139701,1990
85-89,30556,69868,1990
90-94,7718,26123,1990
95-99,1286,5775,1990
100+,129,692,1990
0-4,667831,633871,1995
5-9,664553,632295,1995
10-14,665500,632831,1995
15-19,653738,621232,1995
20-24,722716,702025,1995
25-29,693863,690909,1995
30-34,731203,732697,1995
35-39,713049,715726,1995
40-44,667745,669822,1995
45-49,636534,617974,1995
50-54,496697,475479,1995
55-59,406862,395905,1995
60-64,353942,356662,1995
65-69,334773,353895,1995
70-74,269823,322287,1995
75-79,170300,233888,1995
80-84,101697,170797,1995
85-89,41590,90260,1995
90-94,11008,32906,1995
95-99,1664,7683,1995
100+,154,947,1995
0-4,658509,625445,2000
5-9,691854,656527,2000
10-14,685221,653254,2000
15-19,676790,648155,2000
20-24,655979,636900,2000
25-29,716486,721686,2000
30-34,710812,722184,2000
35-39,748053,756806,2000
40-44,720622,730608,2000
45-49,667396,674696,2000
50-54,633451,622405,2000
55-59,490078,472715,2000
60-64,399572,395681,2000
65-69,332560,344845,2000
70-74,298514,332690,2000
75-79,219047,286149,2000
80-84,118299,187741,2000
85-89,54946,113133,2000
90-94,15522,43668,2000
95-99,2396,9657,2000
100+,196,1215,2000
0-4,661032,626752,2005
5-9,682825,648684,2005
10-14,714527,677128,2005
15-19,710848,678423,2005
20-24,724330,699157,2005
25-29,687089,678302,2005
30-34,746726,757284,2005
35-39,736255,746327,2005
40-44,762281,773970,2005
45-49,724066,737165,2005
50-54,663416,671428,2005
55-59,617885,613132,2005
60-64,472620,467887,2005
65-69,374141,383283,2005
70-74,299236,323905,2005
75-79,247773,297459,2005
80-84,159384,234654,2005
85-89,68390,129459,2005
90-94,21649,56838,2005
95-99,3589,13366,2005
100+,287,1528,2005
0-4,747523,708688,2010
5-9,703532,667844,2010
10-14,715299,679257,2010
15-19,753490,713946,2010
20-24,826025,784083,2010
25-29,828186,803150,2010
30-34,755577,754437,2010
35-39,795281,807439,2010
40-44,769398,782289,2010
45-49,773922,788212,2010
50-54,728684,742714,2010
55-59,653010,664531,2010
60-64,599494,599966,2010
65-69,454173,459207,2010
70-74,345482,362267,2010
75-79,255654,297845,2010
80-84,187121,249741,2010
85-89,96732,166392,2010
90-94,28878,67054,2010
95-99,5180,17392,2010
100+,431,2045,2010
0-4,802382,760625,2015
5-9,791894,750568,2015
10-14,729918,691533,2015
15-19,758233,721918,2015
20-24,860805,824725,2015
25-29,900138,894811,2015
30-34,878333,881275,2015
35-39,791120,793704,2015
40-44,820650,837365,2015
45-49,773602,801741,2015
50-54,773231,794803,2015
55-59,715061,740981,2015
60-64,632247,658210,2015
65-69,575898,586246,2015
70-74,419190,435961,2015
75-79,299263,333926,2015
80-84,200153,253729,2015
85-89,119580,180860,2015
90-94,42905,88400,2015
95-99,7265,21397,2015
100+,616,2730,2015
0-4,793764,749506,2020
5-9,836376,791073,2020
10-14,826988,780265,2020
15-19,770618,725152,2020
20-24,878810,828665,2020
25-29,948773,937957,2020
30-34,948364,965836,2020
35-39,916453,927770,2020
40-44,807247,825695,2020
45-49,831406,851967,2020
50-54,777464,803182,2020
55-59,770137,800040,2020
60-64,700446,743626,2020
65-69,611662,654599,2020
70-74,541406,571791,2020
75-79,370235,400920,2020
80-84,240057,288211,2020
85-89,133716,189481,2020
90-94,56964,100951,2020
95-99,11876,29761,2020
100+,988,3585,2020
0-4,794661,753806,2025
5-9,808381,764412,2025
10-14,846538,801102,2025
15-19,852821,807074,2025
20-24,833530,790931,2025
25-29,925218,879232,2025
30-34,979126,974017,2025
35-39,972094,990569,2025
40-44,932583,944688,2025
45-49,815201,835706,2025
50-54,831832,854770,2025
55-59,770067,799941,2025
60-64,746840,788465,2025
65-69,669758,726774,2025
70-74,575589,630647,2025
75-79,484536,532957,2025
80-84,302846,350141,2025
85-89,162986,217507,2025
90-94,63574,107405,2025
95-99,15320,34019,2025
100+,1489,4863,2025
