year,category,value,pct
1990,Resident Population,13019663,76.29
1990,Immigrants,3795132,22.24
1990,Emigrants,250333,1.47
1995,Resident Population,13579427,75.42
1995,Immigrants,4145290,23.02
1995,Emigrants,280165,1.56
2000,Resident Population,14339728,75.36
2000,Immigrants,4378226,23.01
2000,Emigrants,310848,1.63
2005,Resident Population,14972651,74.21
2005,Immigrants,4867841,24.13
2005,Emigrants,336352,1.67
2010,Resident Population,15807188,71.75
2010,Immigrants,5863567,26.61
2010,Emigrants,360995,1.64
2015,Resident Population,16700313,70.12
2015,Immigrants,6713487,28.19
2015,Emigrants,402195,1.69
2020,Resident Population,17639315,68.77
2020,Immigrants,7590520,29.59
2020,Emigrants,419413,1.64
2024,Resident Population,18172846,68.06
2024,Immigrants,8097262,30.33
2024,Emigrants,429374,1.61
