Country,Debt_Ratio,Year
Denmark,162.98439,1995
Netherlands,150.14892,1995
Canada,108.2612,1995
United Kingdom,100.24795,1995
Germany,98.237999,1995
Australia,96.479468,1995
United States,95.111963,1995
Sweden,91.626447,1995
Luxembourg,78.778131,1995
Finland,73.417891,1995
France,71.531847,1995
Austria,67.83776,1995
Belgium,65.329897,1995
Spain,63.630187,1995
Ireland,55.437673,1995
Slovak Rep.,54.758791,1995
Portugal,49.850242,1995
Italy,38.13304,1995
Czechia,28.942144,1995
Slovenia,27.282999,1995
Hungary,18.157597,1995
Greece,17.004892,1995
Estonia,7.1760652,1995
Lithuania,5.7870438,1995
Latvia,3.8749083,1995
Poland,3.3050336,1995
Netherlands,203.44425,2000
Denmark,196.16445,2000
Australia,127.71411,2000
Canada,117.66983,2000
Germany,116.70187,2000
United Kingdom,112.7434,2000
Sweden,109.53779,2000
United States,104.68073,2000
Portugal,93.655491,2000
Ireland,91.104057,2000
Luxembourg,90.613978,2000
Spain,84.051173,2000
France,77.903382,2000
Austria,75.572368,2000
Belgium,71.446949,2000
Finland,67.58542,2000
Italy,52.298073,2000
Slovak Rep.,39.404232,2000
Slovenia,35.483231,2000
Greece,33.958885,2000
Czechia,21.800773,2000
Hungary,20.544099,2000
Estonia,20.144785,2000
Poland,11.71262,2000
Latvia,11.66913,2000
Lithuania,3.3138891,2000
Netherlands,256.4134,2005
Denmark,250.34786,2005
Iceland,219.69128,2005
Ireland,198.11089,2005
Australia,185.09233,2005
United Kingdom,160.13399,2005
Sweden,146.82234,2005
Canada,142.5685,2005
United States,136.77212,2005
Portugal,130.10335,2005
Spain,125.67652,2005
Japan,117.65607,2005
Luxembourg,114.045,2005
Germany,107.19631,2005
Finland,96.884519,2005
France,92.079548,2005
Austria,88.529545,2005
Belgium,80.508335,2005
Greece,71.240667,2005
Italy,69.233256,2005
Estonia,68.761435,2005
Latvia,52.750987,2005
Hungary,49.222312,2005
Slovenia,42.056369,2005
Czechia,39.415762,2005
Slovak Rep.,38.135031,2005
Lithuania,30.181463,2005
Poland,23.941489,2005
Mexico,12.777466,2005
Denmark,307.1458,2010
Netherlands,304.76458,2010
Iceland,275.65966,2010
Ireland,228.4727,2010
Australia,191.48036,2010
Canada,170.65767,2010
Sweden,167.21721,2010
United Kingdom,163.73309,2010
Luxembourg,153.24218,2010
Portugal,144.73228,2010
Spain,143.96333,2010
Korea,139.42926,2010
United States,128.70507,2010
New Zealand,119.76103,2010
Finland,116.04452,2010
France,114.93789,2010
Greece,110.16343,2010
Japan,108.35853,2010
Estonia,103.25612,2010
Germany,97.214612,2010
Belgium,95.853082,2010
Austria,93.782386,2010
Italy,88.612321,2010
Hungary,81.143818,2010
Latvia,80.908881,2010
Czechia,62.913647,2010
Slovenia,61.921499,2010
Lithuania,55.321342,2010
Poland,54.914516,2010
Slovak Rep.,47.445322,2010
Mexico,17.175452,2010
Denmark,276.75881,2015
Netherlands,275.91068,2015
Australia,204.1866,2015
Iceland,192.85045,2015
Ireland,179.45893,2015
Canada,178.80702,2015
Sweden,176.44635,2015
Luxembourg,170.89119,2015
Korea,151.74783,2015
United Kingdom,148.89941,2015
Portugal,134.30074,2015
Finland,124.92339,2015
France,118.75921,2015
Greece,117.35338,2015
Spain,115.9588,2015
Japan,111.39914,2015
Belgium,110.54461,2015
United States,110.40073,2015
Austria,93.443813,2015
Germany,91.928585,2015
Italy,86.788544,2015
Estonia,79.292075,2015
Czechia,70.208421,2015
Slovak Rep.,69.093058,2015
Poland,59.703116,2015
Slovenia,58.576854,2015
Lithuania,56.72167,2015
Latvia,52.447573,2015
Hungary,48.832433,2015
Colombia,42.23383,2015
Mexico,21.71702,2015
Denmark,263.29775,2020
Netherlands,249.90473,2020
Australia,203.01785,2020
Sweden,200.32973,2020
Korea,182.86397,2020
Luxembourg,182.11348,2020
Canada,180.164,2020
Iceland,176.30192,2020
Finland,155.81454,2020
United Kingdom,151.02464,2020
France,130.72348,2020
Portugal,127.86165,2020
New Zealand,117.98909,2020
Belgium,117.22061,2020
Japan,116.3047,2020
Ireland,114.36049,2020
Greece,104.35739,2020
United States,101.17949,2020
Spain,100.95762,2020
Germany,95.452389,2020
Austria,94.550876,2020
Italy,90.374583,2020
Slovak Rep.,81.895583,2020
Estonia,78.202808,2020
Czechia,74.524188,2020
Lithuania,56.607616,2020
Poland,55.345599,2020
Slovenia,53.538967,2020
Colombia,51.565732,2020
Hungary,43.857843,2020
Latvia,40.173698,2020
Mexico,26.810561,2020
Netherlands,216.00325,2024
Australia,209.50519,2024
Denmark,203.48908,2024
Canada,181.07302,2024
Sweden,179.21711,2024
Luxembourg,178.33981,2024
Korea,174.34041,2024
Iceland,152.37802,2024
Finland,141.73437,2024
United Kingdom,130.76782,2024
Japan,122.38401,2024
France,115.24977,2024
Belgium,104.74601,2024
Portugal,103.93859,2024
United States,98.842623,2024
Ireland,85.92064,2024
Germany,85.795316,2024
Italy,79.814953,2024
Spain,78.36023,2024
Slovak Rep.,77.452665,2024
Austria,74.886942,2024
Estonia,74.631626,2024
Greece,74.497813,2024
Czechia,60.792861,2024
Lithuania,53.374406,2024
Slovenia,50.126167,2024
Latvia,39.935339,2024
Colombia,38.789127,2024
Poland,38.458077,2024
Hungary,34.526804,2024
Mexico,27.875128,2024
