Year,CPI
1960,3.73
1961,2.29
1962,-0.32
1963,0.64
1964,2.87
1965,3.41
1966,3.29
1967,3.48
1968,2.52
1969,3.28
1970,3.44
1971,6.14
1972,6.02
1973,9.09
1974,15.42
1975,15.16
1976,13.32
1977,12.31
1978,8.0
1979,9.12
1980,10.14
1981,9.49
1982,11.35
1983,10.04
1984,3.96
1985,6.73
1986,9.05
1987,8.53
1988,7.22
1989,7.53
1990,7.33
1991,3.18
1992,1.01
1993,1.75
1994,1.97
1995,4.63
1996,2.62
1997,0.22
1998,0.86
1999,1.48
2000,4.46
2001,4.41
2002,2.98
2003,2.73
2004,2.34
2005,2.69
2006,3.56
2007,2.33
2008,4.35
2009,1.77
2010,2.92
2011,3.3
2012,1.76
2013,2.45
2014,2.49
2015,1.51
2016,1.28
2017,1.95
2018,1.91
2019,1.61
2020,0.85
2021,2.86
2022,6.59
2023,5.6
2024,3.16
2025,3.02
2026,4.1
