date,category,type,yoy_pct_change
2020-01-01,Holiday Travel,Discretionary,9.43
2020-01-01,Automotive Fuel,Non-Discretionary,2.1
2020-02-01,Holiday Travel,Discretionary,-7.88
2020-02-01,Automotive Fuel,Non-Discretionary,-5.1
2020-03-01,Holiday Travel,Discretionary,-0.04
2020-03-01,Automotive Fuel,Non-Discretionary,-12.2
2020-04-01,Holiday Travel,Discretionary,-10.42
2020-04-01,Automotive Fuel,Non-Discretionary,-26.9
2020-05-01,Holiday Travel,Discretionary,-11.17
2020-05-01,Automotive Fuel,Non-Discretionary,-25.68
2020-06-01,Holiday Travel,Discretionary,2.2
2020-06-01,Automotive Fuel,Non-Discretionary,-16.04
2020-07-01,Holiday Travel,Discretionary,6.34
2020-07-01,Automotive Fuel,Non-Discretionary,-4.12
2020-08-01,Holiday Travel,Discretionary,3.02
2020-08-01,Automotive Fuel,Non-Discretionary,12.86
2020-09-01,Holiday Travel,Discretionary,-4.47
2020-09-01,Automotive Fuel,Non-Discretionary,12.5
2020-10-01,Holiday Travel,Discretionary,-5.17
2020-10-01,Automotive Fuel,Non-Discretionary,2.69
2020-11-01,Holiday Travel,Discretionary,-11.27
2020-11-01,Automotive Fuel,Non-Discretionary,-1.82
2020-12-01,Holiday Travel,Discretionary,-0.53
2020-12-01,Automotive Fuel,Non-Discretionary,3.77
2021-01-01,Holiday Travel,Discretionary,6.55
2021-01-01,Automotive Fuel,Non-Discretionary,4.86
2021-02-01,Holiday Travel,Discretionary,-0.77
2021-02-01,Automotive Fuel,Non-Discretionary,8.05
2021-03-01,Holiday Travel,Discretionary,-1.51
2021-03-01,Automotive Fuel,Non-Discretionary,16.8
2021-04-01,Holiday Travel,Discretionary,-6.53
2021-04-01,Automotive Fuel,Non-Discretionary,13.51
2021-05-01,Holiday Travel,Discretionary,-9.95
2021-05-01,Automotive Fuel,Non-Discretionary,10.78
2021-06-01,Holiday Travel,Discretionary,2.02
2021-06-01,Automotive Fuel,Non-Discretionary,7.61
2021-07-01,Holiday Travel,Discretionary,2.22
2021-07-01,Automotive Fuel,Non-Discretionary,7.73
2021-08-01,Holiday Travel,Discretionary,-3.81
2021-08-01,Automotive Fuel,Non-Discretionary,5.34
2021-09-01,Holiday Travel,Discretionary,7.21
2021-09-01,Automotive Fuel,Non-Discretionary,8.89
2021-10-01,Holiday Travel,Discretionary,4.42
2021-10-01,Automotive Fuel,Non-Discretionary,15.09
2021-11-01,Holiday Travel,Discretionary,1.59
2021-11-01,Automotive Fuel,Non-Discretionary,8.84
2021-12-01,Holiday Travel,Discretionary,12.84
2021-12-01,Automotive Fuel,Non-Discretionary,5.86
2022-01-01,Holiday Travel,Discretionary,9.91
2022-01-01,Automotive Fuel,Non-Discretionary,7.61
2022-02-01,Holiday Travel,Discretionary,-5.2
2022-02-01,Automotive Fuel,Non-Discretionary,8.17
2022-02-01,Electricity,Non-Discretionary,0.88
2022-02-01,Gas & Household Fuels,Non-Discretionary,7.66
2022-03-01,Holiday Travel,Discretionary,1.19
2022-03-01,Automotive Fuel,Non-Discretionary,20.12
2022-03-01,Electricity,Non-Discretionary,-0.24
2022-03-01,Gas & Household Fuels,Non-Discretionary,5.16
2022-04-01,Holiday Travel,Discretionary,-0.32
2022-04-01,Automotive Fuel,Non-Discretionary,7.15
2022-04-01,Electricity,Non-Discretionary,-1.02
2022-04-01,Gas & Household Fuels,Non-Discretionary,2.73
2022-05-01,Holiday Travel,Discretionary,-9.48
2022-05-01,Automotive Fuel,Non-Discretionary,14.09
2022-05-01,Electricity,Non-Discretionary,-0.68
2022-05-01,Gas & Household Fuels,Non-Discretionary,-1.07
2022-06-01,Holiday Travel,Discretionary,8.82
2022-06-01,Automotive Fuel,Non-Discretionary,15.07
2022-06-01,Electricity,Non-Discretionary,2.19
2022-06-01,Gas & Household Fuels,Non-Discretionary,0.37
2022-07-01,Holiday Travel,Discretionary,10.2
2022-07-01,Automotive Fuel,Non-Discretionary,-1.18
2022-07-01,Electricity,Non-Discretionary,3.38
2022-07-01,Gas & Household Fuels,Non-Discretionary,10.14
2022-08-01,Holiday Travel,Discretionary,-3.99
2022-08-01,Automotive Fuel,Non-Discretionary,1.37
2022-08-01,Electricity,Non-Discretionary,5.33
2022-08-01,Gas & Household Fuels,Non-Discretionary,11.63
2022-09-01,Holiday Travel,Discretionary,13.17
2022-09-01,Automotive Fuel,Non-Discretionary,-10.32
2022-09-01,Electricity,Non-Discretionary,0.51
2022-09-01,Gas & Household Fuels,Non-Discretionary,15.26
2022-10-01,Holiday Travel,Discretionary,0.55
2022-10-01,Automotive Fuel,Non-Discretionary,-10.13
