Year,Aged 34 and under,Aged 35-44,Aged 45-54,Aged 55-64,Aged 65 and over
2002,8.3,18.0,26.7,24.7,20.0
2003,8.0,17.8,26.6,24.4,21.0
2004,7.4,17.2,26.7,24.4,22.2
2005,6.9,16.6,26.6,24.3,23.5
2006,6.5,16.2,26.7,24.3,24.5
2007,6.7,15.8,26.4,25.3,24.1
2008,6.6,14.8,25.7,26.3,25.0
2009,6.8,14.1,25.2,27.3,25.2
2010,7.2,13.7,24.9,28.1,24.9
2011,7.0,13.3,23.7,28.0,26.8
2012,7.0,13.3,22.7,27.8,28.1
2013,7.2,13.5,21.8,27.4,29.0
2014,7.5,13.7,20.8,26.9,30.0
2015,7.4,14.1,20.5,26.9,30.1
2016,7.1,14.1,20.1,27.2,30.7
2017,6.9,14.4,19.7,27.3,30.9
2018,6.6,14.4,19.2,27.5,31.7
2019,6.2,14.3,19.8,27.1,32.1
2020,6.0,14.5,20.4,26.5,32.0
2021,6.1,15.1,21.4,25.7,31.0
2022,5.7,14.9,21.9,25.2,31.7
2023,5.8,15.2,21.6,24.8,31.9
2024,6.0,15.4,21.4,24.5,32.2
2025,6.0,15.5,21.2,24.3,32.4
