FlowType,Country,CountryCode,TotalMigrants,Male,Female,MalePct,Continent,Year
Immigrants,United Kingdom,826,1119737.0,566587.0,553150.0,50.6%,Europe,1990
Immigrants,New Zealand,554,263301.0,134810.0,128491.0,51.2%,Australia,1990
Immigrants,Italy,380,256923.0,138481.0,118442.0,53.9%,Europe,1990
Immigrants,Greece,300,137306.0,70301.0,67005.0,51.2%,Europe,1990
Immigrants,Viet Nam,704,121046.0,62702.0,58344.0,51.8%,Asia,1990
Immigrants,Germany,276,114446.0,55964.0,58482.0,48.9%,Europe,1990
Immigrants,Netherlands,528,95745.0,50936.0,44809.0,53.2%,Europe,1990
Immigrants,China,156,73079.0,35443.0,37636.0,48.5%,Asia,1990
Immigrants,Philippines,608,71142.0,23761.0,47381.0,33.4%,Asia,1990
Immigrants,Malaysia,458,70262.0,32812.0,37450.0,46.7%,Asia,1990
Immigrants,Poland,616,67785.0,34841.0,32944.0,51.4%,Europe,1990
Immigrants,Lebanon,422,66656.0,35461.0,31195.0,53.2%,Asia,1990
Immigrants,"China, Hong Kong SAR",344,59104.0,29552.0,29552.0,50.0%,Asia,1990
Immigrants,Serbia,688,57213.0,30666.0,26547.0,53.6%,Europe,1990
Immigrants,Croatia,191,55533.0,30043.0,25490.0,54.1%,Europe,1990
Immigrants,India,356,54882.0,30679.0,24203.0,55.9%,Asia,1990
Immigrants,Malta,470,54087.0,28558.0,25529.0,52.8%,Europe,1990
Immigrants,Ireland,372,51489.0,26671.0,24818.0,51.8%,Europe,1990
Immigrants,TFYR Macedonia,807,49301.0,25982.0,23319.0,52.7%,Europe,1990
Immigrants,United States of America,840,48950.0,26286.0,22664.0,53.7%,North America,1990
Immigrants,South Africa,710,46167.0,22853.0,23314.0,49.5%,Africa,1990
Immigrants,Sri Lanka,144,42523.0,21389.0,21134.0,50.3%,Asia,1990
Immigrants,Indonesia,360,41797.0,21191.0,20606.0,50.7%,Asia,1990
Immigrants,Egypt,818,37470.0,19147.0,18323.0,51.1%,Africa,1990
Immigrants,Fiji,242,33513.0,15718.0,17795.0,46.9%,Oceania,1990
Immigrants,Hungary,348,30211.0,16707.0,13504.0,55.3%,Europe,1990
Immigrants,Turkey,792,29111.0,14934.0,14177.0,51.3%,Asia,1990
Immigrants,Chile,152,26408.0,12808.0,13600.0,48.5%,South America,1990
Immigrants,Papua New Guinea,598,24941.0,11722.0,13219.0,47.0%,Oceania,1990
Immigrants,Singapore,702,24824.0,11791.0,13033.0,47.5%,Asia,1990
Immigrants,Austria,40,24364.0,13278.0,11086.0,54.5%,Europe,1990
Immigrants,Cyprus,196,24057.0,12413.0,11644.0,51.6%,Asia,1990
Immigrants,Canada,124,23243.0,11691.0,11552.0,50.3%,North America,1990
Immigrants,Republic of Korea,410,21362.0,10190.0,11172.0,47.7%,Asia,1990
Immigrants,Japan,392,21286.0,8749.0,12537.0,41.1%,Asia,1990
Immigrants,Cambodia,116,21140.0,10570.0,10570.0,50.0%,Asia,1990
Immigrants,Portugal,620,18619.0,9812.0,8807.0,52.7%,Europe,1990
Immigrants,Ukraine,804,17544.0,8316.0,9228.0,47.4%,Europe,1990
Immigrants,Mauritius,480,17128.0,8376.0,8752.0,48.9%,Africa,1990
Immigrants,Russian Federation,643,15589.0,6563.0,9026.0,42.1%,Europe,1990
Immigrants,Iran,364,14854.0,8036.0,6818.0,54.1%,Asia,1990
Immigrants,Spain,724,14752.0,7996.0,6756.0,54.2%,Europe,1990
Immigrants,Taiwan,158,14440.0,7018.0,7422.0,48.6%,Asia,1990
Immigrants,Bosnia and Herzegovina,70,13992.0,7318.0,6674.0,52.3%,Europe,1990
Immigrants,Czech Republic,203,13964.0,7904.0,6060.0,56.6%,Europe,1990
Immigrants,Thailand,764,13659.0,5518.0,8141.0,40.4%,Asia,1990
Immigrants,France,250,13349.0,6715.0,6634.0,50.3%,Europe,1990
Immigrants,Romania,642,11598.0,6124.0,5474.0,52.8%,Europe,1990
Immigrants,Argentina,32,11476.0,5681.0,5795.0,49.5%,South America,1990
Immigrants,Latvia,428,11447.0,5918.0,5529.0,51.7%,Europe,1990
Immigrants,Uruguay,858,11124.0,5451.0,5673.0,49.0%,South America,1990
Immigrants,Laos,418,11064.0,5742.0,5322.0,51.9%,Asia,1990
Immigrants,El Salvador,222,10849.0,5359.0,5490.0,49.4%,Central America,1990
Immigrants,Slovenia,705,10038.0,5481.0,4557.0,54.6%,Europe,1990
Immigrants,Switzerland,756,9845.0,5385.0,4460.0,54.7%,Europe,1990
Immigrants,Finland,246,9389.0,4732.0,4657.0,50.4%,Europe,1990
