Flow Type,Country,Country Code,Total Migrants,Male,Female,Male %,Continent
Immigrants,United Kingdom,826,"1,119,737","566,587","553,150",50.6%,Europe
Immigrants,New Zealand,554,"263,301","134,810","128,491",51.2%,Australia
Immigrants,Italy,380,"256,923","138,481","118,442",53.9%,Europe
Immigrants,Greece,300,"137,306","70,301","67,005",51.2%,Europe
Immigrants,Viet Nam,704,"121,046","62,702","58,344",51.8%,Asia
Immigrants,Germany,276,"114,446","55,964","58,482",48.9%,Europe
Immigrants,Netherlands,528,"95,745","50,936","44,809",53.2%,Europe
Immigrants,China,156,"73,079","35,443","37,636",48.5%,Asia
Immigrants,Philippines,608,"71,142","23,761","47,381",33.4%,Asia
Immigrants,Malaysia,458,"70,262","32,812","37,450",46.7%,Asia
Immigrants,Poland,616,"67,785","34,841","32,944",51.4%,Europe
Immigrants,Lebanon,422,"66,656","35,461","31,195",53.2%,Asia
Immigrants,"China, Hong Kong SAR",344,"59,104","29,552","29,552",50.0%,Asia
Immigrants,Serbia,688,"57,213","30,666","26,547",53.6%,Europe
Immigrants,Croatia,191,"55,533","30,043","25,490",54.1%,Europe
Immigrants,India,356,"54,882","30,679","24,203",55.9%,Asia
Immigrants,Malta,470,"54,087","28,558","25,529",52.8%,Europe
Immigrants,Ireland,372,"51,489","26,671","24,818",51.8%,Europe
Immigrants,TFYR Macedonia,807,"49,301","25,982","23,319",52.7%,Europe
Immigrants,United States of America,840,"48,950","26,286","22,664",53.7%,North America
Immigrants,South Africa,710,"46,167","22,853","23,314",49.5%,Africa
Immigrants,Sri Lanka,144,"42,523","21,389","21,134",50.3%,Asia
Immigrants,Indonesia,360,"41,797","21,191","20,606",50.7%,Asia
Immigrants,Egypt,818,"37,470","19,147","18,323",51.1%,Africa
Immigrants,Fiji,242,"33,513","15,718","17,795",46.9%,Oceania
Immigrants,Hungary,348,"30,211","16,707","13,504",55.3%,Europe
Immigrants,Turkey,792,"29,111","14,934","14,177",51.3%,Asia
Immigrants,Chile,152,"26,408","12,808","13,600",48.5%,South America
Immigrants,Papua New Guinea,598,"24,941","11,722","13,219",47.0%,Oceania
Immigrants,Singapore,702,"24,824","11,791","13,033",47.5%,Asia
Immigrants,Austria,40,"24,364","13,278","11,086",54.5%,Europe
Immigrants,Cyprus,196,"24,057","12,413","11,644",51.6%,Asia
Immigrants,Canada,124,"23,243","11,691","11,552",50.3%,North America
Immigrants,Republic of Korea,410,"21,362","10,190","11,172",47.7%,Asia
Immigrants,Japan,392,"21,286","8,749","12,537",41.1%,Asia
Immigrants,Cambodia,116,"21,140","10,570","10,570",50.0%,Asia
Immigrants,Portugal,620,"18,619","9,812","8,807",52.7%,Europe
Immigrants,Ukraine,804,"17,544","8,316","9,228",47.4%,Europe
Immigrants,Mauritius,480,"17,128","8,376","8,752",48.9%,Africa
Immigrants,Russian Federation,643,"15,589","6,563","9,026",42.1%,Europe
Immigrants,Iran,364,"14,854","8,036","6,818",54.1%,Asia
Immigrants,Spain,724,"14,752","7,996","6,756",54.2%,Europe
Immigrants,Taiwan,158,"14,440","7,018","7,422",48.6%,Asia
Immigrants,Bosnia and Herzegovina,70,"13,992","7,318","6,674",52.3%,Europe
Immigrants,Czech Republic,203,"13,964","7,904","6,060",56.6%,Europe
Immigrants,Thailand,764,"13,659","5,518","8,141",40.4%,Asia
Immigrants,France,250,"13,349","6,715","6,634",50.3%,Europe
Immigrants,Romania,642,"11,598","6,124","5,474",52.8%,Europe
Immigrants,Argentina,32,"11,476","5,681","5,795",49.5%,South America
Immigrants,Latvia,428,"11,447","5,918","5,529",51.7%,Europe
Immigrants,Uruguay,858,"11,124","5,451","5,673",49.0%,South America
Immigrants,Laos,418,"11,064","5,742","5,322",51.9%,Asia
Immigrants,El Salvador,222,"10,849","5,359","5,490",49.4%,Central America
Immigrants,Slovenia,705,"10,038","5,481","4,557",54.6%,Europe
Immigrants,Switzerland,756,"9,845","5,385","4,460",54.7%,Europe
Immigrants,Finland,246,"9,389","4,732","4,657",50.4%,Europe
Immigrants,Denmark,208,"9,385","5,265","4,120",56.1%,Europe
Immigrants,Iraq,368,"9,359","5,344","4,015",57.1%,Asia
Immigrants,Myanmar,104,"8,763","4,250","4,513",48.5%,Asia
Immigrants,Samoa,882,"7,863","3,656","4,207",46.5%,Oceania
Immigrants,Tonga,776,"7,089","3,261","3,828",46.0%,Oceania
Immigrants,Montenegro,499,"6,958","3,743","3,215",53.8%,Europe
Immigrants,Zimbabwe,716,"6,744","3,453","3,291",51.2%,Africa
Immigrants,Israel,376,"6,191","3,386","2,805",54.7%,Asia
Immigrants,Lithuania,440,"5,750","3,162","2,588",55.0%,Europe
Immigrants,Syrian Arab Republic,760,"5,630","2,809","2,821",49.9%,Asia
Immigrants,Slovakia,703,"5,576","3,189","2,387",57.2%,Europe
Immigrants,Sweden,752,"5,265","2,864","2,401",54.4%,Europe
Immigrants,Pakistan,586,"5,079","2,926","2,153",57.6%,Asia
Immigrants,Belgium,56,"4,565","2,205","2,360",48.3%,Europe
Immigrants,Peru,604,"4,190","1,869","2,321",44.6%,South America
Immigrants,Kenya,404,"4,190","2,296","1,894",54.8%,Africa
Immigrants,Afghanistan,4,"3,929","2,208","1,721",56.2%,Asia
Immigrants,Bangladesh,50,"3,071","1,987","1,084",64.7%,Asia
Immigrants,State of Palestine,275,"3,057","1,767","1,290",57.8%,Asia
Immigrants,Seychelles,690,"2,894","1,395","1,499",48.2%,Africa
Immigrants,Estonia,233,"2,805","1,304","1,501",46.5%,Europe
Immigrants,Norway,578,"2,299","1,333",966,58.0%,Europe
Immigrants,Jordan,400,"2,294","1,305",989,56.9%,Asia
Immigrants,Zambia,894,"2,262","1,147","1,115",50.7%,Africa
Immigrants,Bulgaria,100,"2,196","1,291",905,58.8%,Europe
Immigrants,Brazil,76,"2,122",985,"1,137",46.4%,South America
Immigrants,"China, Macao SAR",446,"1,753",806,947,46.0%,Asia
Immigrants,Colombia,170,"1,610",755,855,46.9%,South America
Immigrants,Brunei Darussalam,96,"1,545",802,743,51.9%,Asia
Immigrants,Ethiopia,231,"1,491",805,686,54.0%,Africa
Immigrants,Sudan,729,"1,375",785,590,57.1%,Africa
Immigrants,Tanzania,834,"1,358",785,573,57.8%,Africa
Immigrants,Somalia,706,"1,273",673,600,52.9%,Africa
Immigrants,Trinidad and Tobago,780,"1,220",617,603,50.6%,North America
Immigrants,Ecuador,218,"1,183",599,584,50.6%,South America
Immigrants,Kuwait,414,"1,159",617,542,53.2%,Asia
Immigrants,Ghana,288,"1,114",648,466,58.2%,Africa
Immigrants,New Caledonia,540,"1,076",450,626,41.8%,Oceania
Immigrants,Belarus,112,"1,075",510,565,47.4%,Europe
Immigrants,Solomon Islands,90,"1,067",366,701,34.3%,Oceania
Immigrants,Morocco,504,"1,029",691,338,67.2%,Africa
Immigrants,Libya,434,"1,021",568,453,55.6%,Africa
Immigrants,Uganda,800,995,556,439,55.9%,Africa
Immigrants,Nigeria,566,927,580,347,62.6%,Africa
Immigrants,Vanuatu,548,921,284,637,30.8%,Oceania
Immigrants,Eritrea,232,865,457,408,52.8%,Africa
Immigrants,Nicaragua,558,858,412,446,48.0%,Central America
Immigrants,Jamaica,388,835,428,407,51.3%,North America
Immigrants,Albania,8,822,478,344,58.2%,Europe
Immigrants,Nepal,524,799,558,241,69.8%,Asia
Immigrants,Armenia,51,797,402,395,50.4%,Asia
Immigrants,Algeria,12,696,454,242,65.2%,Africa
Immigrants,Mexico,484,632,301,331,47.6%,North America
Immigrants,Saudi Arabia,682,599,379,220,63.3%,Asia
Immigrants,United Arab Emirates,784,545,318,227,58.3%,Asia
Immigrants,Bolivia,68,534,264,270,49.4%,South America
Immigrants,Venezuela,862,501,236,265,47.1%,South America
Immigrants,Bahrain,48,483,266,217,55.1%,Asia
Immigrants,Guyana,328,480,215,265,44.8%,South America
Immigrants,Tunisia,788,461,283,178,61.4%,Africa
Immigrants,Cuba,192,423,216,207,51.1%,North America
Immigrants,Mozambique,508,397,218,179,54.9%,Africa
Immigrants,Angola,24,359,190,169,52.9%,Africa
Immigrants,Kiribati,296,350,105,245,30.0%,Oceania
Immigrants,Barbados,52,341,194,147,56.9%,North America
Immigrants,Malawi,454,329,171,158,52.0%,Africa
Immigrants,Costa Rica,188,323,185,138,57.3%,Central America
Immigrants,Iceland,352,289,159,130,55.0%,Europe
Immigrants,Republic of Moldova,498,285,143,142,50.2%,Europe
Immigrants,Paraguay,600,272,130,142,47.8%,South America
Immigrants,Bahamas,44,218,100,118,45.9%,North America
Immigrants,Guatemala,320,218,105,113,48.2%,Central America
Immigrants,French Polynesia,258,212,86,126,40.6%,Oceania
Immigrants,Namibia,516,207,106,101,51.2%,Africa
Immigrants,Yemen,887,203,118,85,58.1%,Asia
Immigrants,Uzbekistan,860,193,98,95,50.8%,Asia
Immigrants,D.R. Congo,180,183,92,91,50.3%,Africa
Immigrants,Senegal,686,156,100,56,64.1%,Africa
Immigrants,Honduras,340,141,73,68,51.8%,Central America
Immigrants,Georgia,268,130,64,66,49.2%,Asia
Immigrants,Maldives,462,128,51,77,39.8%,Asia
Immigrants,Botswana,72,115,69,46,60.0%,Africa
Immigrants,Swaziland,748,114,59,55,51.8%,Africa
Immigrants,Madagascar,450,114,58,56,50.9%,Africa
Immigrants,Panama,591,106,62,44,58.5%,Central America
Immigrants,Luxembourg,442,103,49,54,47.6%,Europe
Immigrants,Sierra Leone,694,97,52,45,53.6%,Africa
Immigrants,Mongolia,496,97,39,58,40.2%,Asia
Immigrants,Qatar,634,94,58,36,61.7%,Asia
Immigrants,Kazakhstan,398,94,38,56,40.4%,Asia
Immigrants,Grenada,308,87,41,46,47.1%,North America
Immigrants,Curaçao,531,81,36,45,44.4%,America
Immigrants,Oman,512,74,46,28,62.2%,Asia
Immigrants,Haiti,332,72,29,43,40.3%,North America
Immigrants,Puerto Rico,630,72,26,46,36.1%,North America
Immigrants,Suriname,740,67,31,36,46.3%,South America
Immigrants,Aruba,533,60,37,23,61.7%,North America
Immigrants,Djibouti,262,53,18,35,34.0%,Africa
Immigrants,Saint Vincent and the Grenadines,670,53,30,23,56.6%,North America
Immigrants,Liberia,430,50,26,24,52.0%,Africa
Immigrants,Lesotho,426,46,27,19,58.7%,Africa
Immigrants,Réunion,638,44,17,27,38.6%,Africa
Immigrants,Azerbaijan,31,44,18,26,40.9%,Asia
Immigrants,Belize,84,33,13,20,39.4%,Central America
Immigrants,Dominican Republic,214,29,15,14,51.7%,North America
Immigrants,Bhutan,64,29,17,12,58.6%,Asia
Immigrants,Guam,316,29,12,17,41.4%,Oceania
Immigrants,Côte d'Ivoire,384,21,12,9,57.1%,Africa
Immigrants,Tajikistan,762,19,8,11,42.1%,Asia
Immigrants,Burundi,108,18,10,8,55.6%,Africa
Immigrants,Cameroon,120,12,8,4,66.7%,Africa
Immigrants,Antigua and Barbuda,28,12,4,8,33.3%,North America
Immigrants,Kyrgyzstan,417,12,6,6,50.0%,Asia
