FlowType,Country,CountryCode,TotalMigrants,Male,Female,MalePct,Continent,Year
Immigrants,United Kingdom,826,1119737,566587,553150,50.60%,Europe,1990
Immigrants,New Zealand,554,263301,134810,128491,51.20%,Australia,1990
Immigrants,Italy,380,256923,138481,118442,53.90%,Europe,1990
Immigrants,Greece,300,137306,70301,67005,51.20%,Europe,1990
Immigrants,Viet Nam,704,121046,62702,58344,51.80%,Asia,1990
Immigrants,Germany,276,114446,55964,58482,48.90%,Europe,1990
Immigrants,Netherlands,528,95745,50936,44809,53.20%,Europe,1990
Immigrants,China,156,73079,35443,37636,48.50%,Asia,1990
Immigrants,Philippines,608,71142,23761,47381,33.40%,Asia,1990
Immigrants,Malaysia,458,70262,32812,37450,46.70%,Asia,1990
Immigrants,Poland,616,67785,34841,32944,51.40%,Europe,1990
Immigrants,Lebanon,422,66656,35461,31195,53.20%,Asia,1990
Immigrants,"China, Hong Kong SAR",344,59104,29552,29552,50.00%,Asia,1990
Immigrants,Serbia,688,57213,30666,26547,53.60%,Europe,1990
Immigrants,Croatia,191,55533,30043,25490,54.10%,Europe,1990
Immigrants,India,356,54882,30679,24203,55.90%,Asia,1990
Immigrants,Malta,470,54087,28558,25529,52.80%,Europe,1990
Immigrants,Ireland,372,51489,26671,24818,51.80%,Europe,1990
Immigrants,TFYR Macedonia,807,49301,25982,23319,52.70%,Europe,1990
Immigrants,United States of America,840,48950,26286,22664,53.70%,North America,1990
Immigrants,South Africa,710,46167,22853,23314,49.50%,Africa,1990
Immigrants,Sri Lanka,144,42523,21389,21134,50.30%,Asia,1990
Immigrants,Indonesia,360,41797,21191,20606,50.70%,Asia,1990
Immigrants,Egypt,818,37470,19147,18323,51.10%,Africa,1990
Immigrants,Fiji,242,33513,15718,17795,46.90%,Oceania,1990
Immigrants,Hungary,348,30211,16707,13504,55.30%,Europe,1990
Immigrants,Turkey,792,29111,14934,14177,51.30%,Asia,1990
Immigrants,Chile,152,26408,12808,13600,48.50%,South America,1990
Immigrants,Papua New Guinea,598,24941,11722,13219,47.00%,Oceania,1990
Immigrants,Singapore,702,24824,11791,13033,47.50%,Asia,1990
Immigrants,Austria,40,24364,13278,11086,54.50%,Europe,1990
Immigrants,Cyprus,196,24057,12413,11644,51.60%,Asia,1990
Immigrants,Canada,124,23243,11691,11552,50.30%,North America,1990
Immigrants,Republic of Korea,410,21362,10190,11172,47.70%,Asia,1990
Immigrants,Japan,392,21286,8749,12537,41.10%,Asia,1990
Immigrants,Cambodia,116,21140,10570,10570,50.00%,Asia,1990
Immigrants,Portugal,620,18619,9812,8807,52.70%,Europe,1990
Immigrants,Ukraine,804,17544,8316,9228,47.40%,Europe,1990
