date,rent_cpi_annual_pct,nom_thousands,note
2023-08-01,7.8,538.34,
2023-09-01,7.5,555.8,CRA +15% (Sep-23)
2023-10-01,6.6,555.8,
2023-11-01,7.1,555.8,
2023-12-01,7.4,530.62,
2024-01-01,7.5,530.62,
2024-02-01,7.5,530.62,
2024-03-01,7.7,493.82,
2024-04-01,7.5,493.82,
2024-05-01,7.4,493.82,
2024-06-01,7.1,429.16,
2024-07-01,6.9,429.16,
2024-08-01,6.7,429.16,
2024-09-01,6.6,364.82,CRA +10% (Sep-24)
2024-10-01,6.8,364.82,
2024-11-01,6.6,364.82,
2024-12-01,6.2,329.94,
2025-01-01,5.8,329.94,
2025-02-01,5.5,329.94,
2025-03-01,5.2,311.27,
2025-04-01,4.9,311.27,
2025-05-01,4.5,311.27,
2025-06-01,4.2,305.57,
2025-07-01,3.9,305.57,
2025-08-01,3.7,305.57,
2025-09-01,3.8,305.57,
2025-10-01,4.2,305.57,
2025-11-01,4.0,305.57,
2025-12-01,3.9,305.57,
2026-01-01,3.9,305.57,
2026-02-01,3.8,305.57,
2026-03-01,3.7,305.57,
2026-04-01,3.5,305.57,
